Time,Close Price,Difference,Return
2014-10-27,"1,961.6300",-2.9500,-0.1502
2014-10-28,"1,985.0500",23.4200,1.1939
2014-10-29,"1,982.3000",-2.7500,-0.1385
2014-10-30,"1,994.6500",12.3500,0.6230
2014-10-31,"2,018.0500",23.4000,1.1731
2014-11-03,"2,017.8100",-0.2400,-0.0119
2014-11-04,"2,012.1000",-5.7101,-0.2830
2014-11-05,"2,023.5700",11.4700,0.5701
2014-11-06,"2,031.2100",7.6400,0.3776
2014-11-07,"2,031.9200",0.7101,0.0350
2014-11-10,"2,038.2600",6.3400,0.3120
2014-11-11,"2,039.6800",1.4200,0.0697
2014-11-12,"2,038.2500",-1.4301,-0.0701
2014-11-13,"2,039.3300",1.0800,0.0530
2014-11-14,"2,039.8200",0.4900,0.0240
2014-11-17,"2,041.3200",1.5000,0.0735
2014-11-18,"2,051.8000",10.4801,0.5134
2014-11-19,"2,048.7200",-3.0801,-0.1501
2014-11-20,"2,052.7500",4.0300,0.1967
2014-11-21,"2,063.5000",10.7500,0.5237
2014-11-24,"2,069.4100",5.9099,0.2864
2014-11-25,"2,067.0300",-2.3799,-0.1150
2014-11-26,"2,072.8300",5.8000,0.2806
2014-11-28,"2,067.5600",-5.2700,-0.2542
2014-12-01,"2,053.4400",-14.1201,-0.6829
2014-12-02,"2,066.5500",13.1101,0.6384
2014-12-03,"2,074.3300",7.7800,0.3765
2014-12-04,"2,071.9200",-2.4102,-0.1162
2014-12-05,"2,075.3700",3.4502,0.1665
2014-12-08,"2,060.3100",-15.0601,-0.7257
2014-12-09,"2,059.8200",-0.4900,-0.0238
2014-12-10,"2,026.1400",-33.6801,-1.6351
2014-12-11,"2,035.3300",9.1899,0.4536
2014-12-12,"2,002.3300",-33.0000,-1.6214
2014-12-15,"1,989.6300",-12.7000,-0.6343
2014-12-16,"1,972.7400",-16.8900,-0.8489
2014-12-17,"2,012.8900",40.1500,2.0352
2014-12-18,"2,061.2300",48.3400,2.4015
2014-12-19,"2,070.6500",9.4199,0.4570
2014-12-22,"2,078.5400",7.8901,0.3810
2014-12-23,"2,082.1700",3.6299,0.1746
2014-12-24,"2,081.8800",-0.2900,-0.0139
2014-12-26,"2,088.7700",6.8901,0.3310
2014-12-29,"2,090.5700",1.8000,0.0862
2014-12-30,"2,080.3500",-10.2200,-0.4889
2014-12-31,"2,058.9000",-21.4502,-1.0311
2015-01-02,"2,058.2000",-0.7000,-0.0340
2015-01-05,"2,020.5800",-37.6200,-1.8278
2015-01-06,"2,002.6100",-17.9700,-0.8893
2015-01-07,"2,025.9000",23.2900,1.1630
2015-01-08,"2,062.1400",36.2399,1.7888
2015-01-09,"2,044.8100",-17.3298,-0.8404
2015-01-12,"2,028.2600",-16.5500,-0.8094
2015-01-13,"2,023.0300",-5.2300,-0.2579
2015-01-14,"2,011.2700",-11.7600,-0.5813
2015-01-15,"1,992.6700",-18.6000,-0.9248
2015-01-16,"2,019.4200",26.7500,1.3424
2015-01-20,"2,022.5500",3.1300,0.1550
2015-01-21,"2,032.1200",9.5699,0.4732
2015-01-22,"2,063.1500",31.0299,1.5270
2015-01-23,"2,051.8200",-11.3298,-0.5492
2015-01-26,"2,057.0900",5.2700,0.2568
2015-01-27,"2,029.5500",-27.5400,-1.3388
2015-01-28,"2,002.1600",-27.3900,-1.3496
2015-01-29,"2,021.2500",19.0900,0.9535
2015-01-30,"1,994.9900",-26.2600,-1.2992
2015-02-02,"2,020.8500",25.8600,1.2962
2015-02-03,"2,050.0300",29.1801,1.4440
2015-02-04,"2,041.5100",-8.5200,-0.4156
2015-02-05,"2,062.5200",21.0100,1.0291
2015-02-06,"2,055.4700",-7.0500,-0.3418
2015-02-09,"2,046.7400",-8.7300,-0.4247
2015-02-10,"2,068.5900",21.8501,1.0676
2015-02-11,"2,068.5300",-0.0601,-0.0029
2015-02-12,"2,088.4800",19.9500,0.9645
2015-02-13,"2,096.9900",8.5100,0.4075
2015-02-17,"2,100.3400",3.3501,0.1598
2015-02-18,"2,099.6800",-0.6602,-0.0314
2015-02-19,"2,097.4500",-2.2300,-0.1062
2015-02-20,"2,110.3000",12.8501,0.6127
2015-02-23,"2,109.6600",-0.6401,-0.0303
2015-02-24,"2,115.4800",5.8201,0.2759
2015-02-25,"2,113.8600",-1.6199,-0.0766
2015-02-26,"2,110.7400",-3.1201,-0.1476
2015-02-27,"2,104.5000",-6.2400,-0.2956
2015-03-02,"2,117.3900",12.8899,0.6125
2015-03-03,"2,107.7800",-9.6099,-0.4539
2015-03-04,"2,098.5300",-9.2500,-0.4389
2015-03-05,"2,101.0400",2.5100,0.1196
2015-03-06,"2,071.2600",-29.7800,-1.4174
2015-03-09,"2,079.4300",8.1699,0.3944
2015-03-10,"2,044.1600",-35.2699,-1.6961
2015-03-11,"2,040.2400",-3.9200,-0.1918
2015-03-12,"2,065.9500",25.7100,1.2601
2015-03-13,"2,053.4000",-12.5500,-0.6075
2015-03-16,"2,081.1900",27.7900,1.3534
2015-03-17,"2,074.2800",-6.9099,-0.3320
2015-03-18,"2,099.5000",25.2200,1.2158
2015-03-19,"2,089.2700",-10.2300,-0.4873
2015-03-20,"2,108.1000",18.8301,0.9013
2015-03-23,"2,104.4200",-3.6802,-0.1746
2015-03-24,"2,091.5000",-12.9199,-0.6139
2015-03-25,"2,061.0500",-30.4500,-1.4559
2015-03-26,"2,056.1500",-4.9001,-0.2377
2015-03-27,"2,061.0200",4.8701,0.2369
2015-03-30,"2,086.2400",25.2200,1.2237
2015-03-31,"2,067.8900",-18.3501,-0.8796
2015-04-01,"2,059.6900",-8.2000,-0.3965
2015-04-02,"2,066.9600",7.2700,0.3530
2015-04-06,"2,080.6200",13.6602,0.6609
2015-04-07,"2,076.3300",-4.2900,-0.2062
2015-04-08,"2,081.9000",5.5698,0.2683
2015-04-09,"2,091.1800",9.2800,0.4457
2015-04-10,"2,102.0600",10.8801,0.5203
2015-04-13,"2,092.4300",-9.6301,-0.4581
2015-04-14,"2,095.8400",3.4102,0.1630
2015-04-15,"2,106.6300",10.7898,0.5148
2015-04-16,"2,104.9900",-1.6399,-0.0778
2015-04-17,"2,081.1800",-23.8101,-1.1311
2015-04-20,"2,100.4000",19.2200,0.9235
2015-04-21,"2,097.2900",-3.1099,-0.1481
2015-04-22,"2,107.9600",10.6699,0.5087
2015-04-23,"2,112.9300",4.9700,0.2358
2015-04-24,"2,117.6900",4.7600,0.2253
2015-04-27,"2,108.9200",-8.7700,-0.4141
2015-04-28,"2,114.7600",5.8401,0.2769
2015-04-29,"2,106.8500",-7.9099,-0.3740
2015-04-30,"2,085.5100",-21.3401,-1.0129
2015-05-01,"2,108.2900",22.7800,1.0923
2015-05-04,"2,114.4900",6.2000,0.2941
